Date,Target,Sector,Country,Transaction Type,Deal Value (USD/MLNS),Investor(s),Target_symbol,Investors_symbol,Target_Name_in_API,Investors_Name_in_API
2016-10-11,"Jefferson County Bancshares, Inc.",Financial Services,United States,Add-on Acquisition,130.6,"Enterprise Financial Services Corp., 150 North Meramec, Clayton, Montana, 63105, United States, (314) 725-5500, www.enterprisebank.com",,EFSC,,Enterprise Financial Services Corp
2016-10-17,"Community Health Systems, Inc. - Home Health and Hospice Unit",Healthcare Services,United States,Divestiture,128,"Almost Family, Inc., 9510 Ormsby Station Road, Suite 300, Louisville, Kentucky, 40223, United States, (502) 891-1000, www.almostfamily.com",CYH,,"Community Health Systems, Inc.",
2016-10-17,Charles Smith Wines LLC,Beverages,United States,Add-on Acquisition,120,"Constellation Brands, Inc., Building 100 207 High Point Drive, Victor, New York, 14564, United States, (585) 678-7100, www.cbrands.com",,STZ-B,,"Constellation Brands, Inc."
2016-10-17,"etailz, Inc.",Information Technology,United States,Add-on Acquisition,75,"Kaspien Holdings Inc., 2818 N. Sullivan Road Suite 30, Spokane, New York, 99216, United States, (855) 300-2710, www.kaspien.com",,KSPN,,Kaspien Holdings Inc.
2016-10-27,Extension Healthcare,Information Technology,United States,Add-on Acquisition,55,"Vocera Communications, Inc., 525 Race Street, San Jose, California, 95126, United States, (408) 882-5100, www.vocera.com",,VCRA,,"Vocera Communications, Inc."
2016-10-03,EPS Financial LLC,Information Technology,United States,Divestiture,42.5,"Meta Financial Group, Inc., 5501 South Broadband Lane, Sioux Falls, South Dakota, 57108, United States, (605) 782 1767, www.metafinancialgroup.com",,CASH,,"Meta Financial Group, Inc."
2016-10-31,Atmos Energy Marketing LLC,Marketing,United States,Divestiture,40,"CenterPoint Energy, Inc., 1111 Louisiana Street, Houston, Texas, 77002, United States, (713) 207-1111, www.centerpointenergy.com",,CNP,,"CenterPoint Energy, Inc."
2016-10-27,Mtelligence Corp. (Mtell),Software,United States,Add-on Acquisition,37,"Aspen Technology, Inc., 20 Crosby Drive, Bedford, Massachusetts, 01730, United States, (781) 221-6400, www.aspentech.com",,AZPN,,"Aspen Technology, Inc."
2016-10-14,Iberville Bank,Financial Services,United States,Divestiture,31.1,"The First Bancshares, Inc., 6480 U.S. Highway 98 West, Hattiesburg, Mississippi, 39402, United States, (601) 268-8998, www.thefirstbank.com",,FBMS,,"The First Bancshares, Inc."
2016-10-31,Founders Community Bank,Financial Services,United States,Merger,29.1,"Heartland Financial USA, Inc., 1398 Central Avenue, Dubuque, Iowa, 52001, United States, (563) 589-2100, www.htlf.com",,HTLFP,,"Heartland Financial USA, Inc."
2016-10-06,Sanchez Energy Corp. - Midstream Assets,Energy Services and Equipment,United States,Divestiture,27,"Sanchez Midstream Partners LP, 1000 Main Street, Suite 3000, Houston, Texas, 77002, United States, (713) 783-8000, www.sanchezmidstream.com",,SNMP,,Sanchez Midstream Partners LP
2016-10-14,Gulf Coast Community Bank,Financial Services,United States,Add-on Acquisition,2.3,"The First Bancshares, Inc., 6480 U.S. Highway 98 West, Hattiesburg, Mississippi, 39402, United States, (601) 268-8998, www.thefirstbank.com",,FBMS,,"The First Bancshares, Inc."
2016-11-23,Skyscanner Ltd.,Internet Software and Services,United Kingdom,Add-on Acquisition,2155.16,"Trip.com Group Limited, No. 99 Fu Quan Road, Shanghai, 200335, China, 86 21 3406 4880, www.trip.com",,TCOM,,Trip.com Group Limited
2016-11-30,"Electric Lightwave, Inc.",Communications,United States,Add-on Acquisition,1420,"Zayo Group Holdings, Inc., 1805 29th Street, Suite 2050, Boulder, Colorado, 80301, United States, (303) 381-4683, www.zayo.com",,ZAYO,,"Zayo Group Holdings, Inc."
2016-11-17,ARC Resources Ltd. - Saskatchewan Assets,Oil/Gas Exploration,Canada,Divestiture,700,"Spartan Energy Corp., 500 Centre Street SE, Suite 3200, Calgary, Alberta, T2P 0R8, Canada, (403) 355-8920, www.spartanenergy.ca",ARX.TO,,ARC Resources Ltd.,
2016-11-21,"Carlile Bancshares, Inc.",Financial Services,United States,Add-on Acquisition,434,"Independent Bank Group, Inc., 7777 Henneman Way, McKinney, Texas, 75070, United States, (972) 562-9004, www.independent-bank.com",,IBTX,,"Independent Bank Group, Inc."
2016-11-02,Camber Corp.,Defense,United States,Add-on Acquisition,380,"Huntington Ingalls Industries, Inc., 4101 Washington Avenue, Newport News, Virginia, 23607, United States, (757) 380-2000, www.huntingtoningalls.com",,HII,,"Huntington Ingalls Industries, Inc."
2016-11-04,"Point Grey Research, Inc.",Technology Hardware,Canada,Add-on Acquisition,259,"FLIR Systems, Inc., 27700 SW Parkway Avenue, Wilsonville, Oregon, 97070, United States, (503) 498-3547, www.flir.com",,FLIR,,"FLIR Systems, Inc."
2016-11-02,CECA SA - Activated Carbon and Filter Aid Business,Chemicals,France,Divestiture,158.55,"Calgon Carbon Corp., 3000 GSK Drive, Moon Township, Pittsburgh, Pennsylvania, 15108, United States, (412) 787-6700, www.calgoncarbon.com",ECASA.PA,,ECA SA,
2016-11-30,Prox Dynamics AS,Technology Hardware,Norway,Add-on Acquisition,134,"FLIR Systems, Inc., 27700 SW Parkway Avenue, Wilsonville, Oregon, 97070, United States, (503) 498-3547, www.flir.com",,FLIR,,"FLIR Systems, Inc."
2016-11-16,Iron Horse Holdings LLC (dba CompareCards),Internet Software and Services,United States,Add-on Acquisition,130,"LendingTree, Inc., 11115 Rushmore Drive, Charlotte, North Carolina, Charlotte, United States, (704) 541-5351, www.lendingtree.com",,TREE,,"LendingTree, Inc."
2016-11-22,"Chase Pharmaceuticals Corporation, Inc.",Life Science,United States,Add-on Acquisition,125,"Allergan plc, Morris Corporate Center III, 400 Interpace Parkway, Parsippany, New Jersey, 07054, United States, (862) 261-7000, www.allergan.com",,AGN,,Allergan plc
2016-11-04,AXTONE Sp. z o.o.,Machinery,Poland,Add-on Acquisition,118,"ITT Inc., 1133 Westchester Avenue, White Plains, New York, 10604, United States, (914) 641-2000, www.itt.com",,ITT,,ITT Inc.
2016-11-28,"Original Joe's Franchise Group, Inc.",Restaurants,Canada,Add-on Acquisition,93,"Recipe Unlimited Corp., 199 Four Valley Drive, Vaughan, Ontario, L4K 0B8, Canada, (905) 760-2244, www.recipeunlimited.com",FRGAP,,"Franchise Group, Inc.",
2016-11-11,"Arsia Therapeutics, Inc.",Life Science,United States,Add-on Acquisition,78,"Eagle Pharmaceuticals, Inc., 50 Tice Boulevard, Suite 315, Woodcliff Lake, New Jersey, 07677, United States, (201) 326-5300, www.eagleus.com",,EGRX,,"Eagle Pharmaceuticals, Inc."
2016-11-21,Veridicus Holdings LLC (Veridicus Health),Healthcare Services,United States,Add-on Acquisition,74.5,"Magellan Health, Inc., 4801 East Washington Street, Phoenix, Arizona, 85034, United States, (800) 642-1716, www.magellanhealth.com",,MGLN,,"Magellan Health, Inc."
2016-11-01,"Kolltan Pharmaceuticals, Inc.",Life Science,United States,Add-on Acquisition,62.5,"Celldex Therapeutics, Inc., Perryville III Building Suite 200, Hampton, New Jersey, 08827, United States, (908) 200-7500, www.celldex.com",,CLDX,,"Celldex Therapeutics, Inc."
2016-11-03,CES Creative Electronic Systems S.A.,Technology Hardware,Switzerland,Add-on Acquisition,38,"Mercury Systems, Inc., 50 Minuteman Road, Chelmsford, Massachusetts, 01810, United States, (978) 256-1300, www.mrcy.com",,MRCY,,"Mercury Systems, Inc."
2016-11-17,"Smoke Free Technologies, Inc. (VaporBeast)",E-Commerce,United States,Add-on Acquisition,27,"Turning Point Brands, Inc., 5201 Interchange Way, Louisville, Kentucky, 40229, United States, (502) 778-4421, www.turningpointbrands.com",,TPB,,"Turning Point Brands, Inc."
2016-11-10,Specialty Consumer Services LP,Business Services,United States,Add-on Acquisition,15,"Meta Financial Group, Inc., 5501 South Broadband Lane, Sioux Falls, South Dakota, 57108, United States, (605) 782 1767, www.metafinancialgroup.com",,CASH,,"Meta Financial Group, Inc."
2016-11-15,Kita Manufacturing Co. Ltd.,Test/Measurement Equipment,Japan,Add-on Acquisition,15,"Cohu, Inc., 12367 Crosthwaite Circle, Poway, California, 92064, United States, (858) 848-8100, www.cohu.com",,COHU,,"Cohu, Inc."
2016-11-10,Restore Flow Allograft LLC,Life Science,United States,Add-on Acquisition,14,"LeMaitre Vascular, Inc., 63 Second Avenue, Burlington, Massachusetts, 01803 , United States, (781) 221-2266, www.lemaitre.com",,LMAT,,"LeMaitre Vascular, Inc."
2016-11-04,Wind River Tobacco Co. - Smokeless Tobacco Brands,Consumer Products,United States,Divestiture,2.5,"Turning Point Brands, Inc., 5201 Interchange Way, Louisville, Kentucky, 40229, United States, (502) 778-4421, www.turningpointbrands.com",,TPB,,"Turning Point Brands, Inc."
2016-12-12,Pioneer Global Asset Management S.p.A.,Financial Services,Italy,Divestiture,3994.86,"Amundi SA, Paris, France, www.amundi.com",,AMUN.PA,,Amundi SA
2016-12-20,LifeCell Corp.,Medical Products,United States,Divestiture,2900,"Allergan plc, Morris Corporate Center III, 400 Interpace Parkway, Parsippany, New Jersey, 07054, United States, (862) 261-7000, www.allergan.com",,AGN,,Allergan plc
2016-12-06,"Deltek, Inc.",Software,United States,Add-on Acquisition,2800,"Roper Technologies, Inc., 6901 Professional Parkway East, Suite 200, Sarasota, Florida, 34240, United States, (941) 556-2601, www.ropertech.com",,ROP,,"Roper Technologies, Inc."
2016-12-14,Vitruvian Exploration II LLC,Oil/Gas Exploration,United States,Add-on Acquisition,1850,"Gulfport Energy Corporation, 3001 Quail Springs Parkway, Oklahoma City, Oklahoma, 73134, United States, (405) 252-4600, www.gulfportenergy.com",,GPOR,,Gulfport Energy Corporation
2016-12-07,Solvay Acetow GmbH,Chemicals,Germany,Divestiture,1126.9,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2016-12-06,"IntraLinks Holdings, Inc.",Internet Software and Services,United States,Add-on Acquisition,821,"Synchronoss Technologies, Inc., 200 Crossing Boulevard 8th Floor, Bridgewater, New Jersey, 08807, United States, (866) 620-3940, www.synchronoss.com",,SNCR,,"Synchronoss Technologies, Inc."
2016-12-21,"Stanley Black & Decker, Inc. - Mechanical Security Businesses",Technology Hardware,United States,Divestiture,725,"Kaba Holding AG, Hofwisenstrasse 24, Rumlang, 8153, Switzerland, +41 44 818 90 11, www.kaba.com",SWK,,"Stanley Black & Decker, Inc.",
2016-12-05,Cambian Group - Adult Services Division,Healthcare Services,United Kingdom,Divestiture,580.35,"Universal Health Services, Inc., Universal Corporate Center 367 South Gulph Road PO Box 61558, King of Prussia, Pennsylvania, 19406, United States, (610) 768-3300, www.uhsinc.com",,UHS,,"Universal Health Services, Inc."
2016-12-13,Heritage Oaks Bancorp.,Financial Services,United States,Add-on Acquisition,405.6,"Pacific Premier Bancorp, Inc. (Pacific Premier Bank), 17901 Von Karman Avenue, Suite 1200, Irvine, California, 92614, United States, (949) 864-8000, www.ppbi.com",,PPBI,,"Pacific Premier Bancorp, Inc."
2016-12-22,"PerkinElmer, Inc. - Medical Imaging Business",Medical Products,United States,Divestiture,276,"Varian Medical Systems, Inc., 3100 Hansen Way, Palo Alto, California, 94304, United States, (650) 493-4000, www.varian.com",,VAR,,"Varian Medical Systems, Inc."
2016-12-05,"Northeast Retirement Services, Inc.",Financial Services,United States,Add-on Acquisition,140,"Community Bank System, Inc., 5790 Widewaters Parkway, Dewitt, New York, 13214, United States, (315) 445-2282, www.cbna.com",,CBU,,"Community Bank System, Inc."
2016-12-14,"Sotawall, Inc.",Building Materials,Canada,Add-on Acquisition,135,"Apogee Enterprises, Inc., 4400 West 78th Street, Suite 520, Minneapolis, Minnesota, 55435, United States, (952) 835-1874, www.apog.com",,APOG,,"Apogee Enterprises, Inc."
2016-12-15,Conifer Financial Services LLC,Financial Services,United States,Add-on Acquisition,88.5,"SS&C Technologies Holdings, Inc., 80 Lamberton Road, Windsor, Connecticut, 06095, United States, (860) 298-4500, www.ssctech.com",,SSNC,,"SS&C Technologies Holdings, Inc."
2016-12-20,Multiplicom N.V.,Life Science,Belgium,Add-on Acquisition,76.63,"Agilent Technologies, Inc., 5301 Stevens Creek Boulevard, Santa Clara, California, 95051, United States, (800) 227-9770, www.agilent.com",,A,,"Agilent Technologies, Inc."
2016-12-02,Victoria Fine Foods LLC,Food,United States,Add-on Acquisition,70,"B&G Foods, Inc., Four Gatehall Drive, Parsippany, New Jersey, 07054, United States, (973) 401-6500, www.bgfoods.com",,BGS,,"B&G Foods, Inc."
2016-12-13,Smeal Fire Apparatus Co.,Automotive,United States,Add-on Acquisition,36.3,"The Shyft Group, Inc., 41280 Bridge Street, Novi, Michigan, 48375, United States, (517) 543-6400, www.theshyftgroup.com",,SPAR,,"The Shyft Group, Inc."
2016-12-21,ISP Optics Corp.,Technology Hardware,United States,Add-on Acquisition,18,"LightPath Technologies, Inc., 2603 Challenger Tech Court, Suite 100, Orlando, Florida, 32826, United States, (407) 382-4003, www.lightpath.com",,LPTH,,"LightPath Technologies, Inc."
2016-12-13,"The McCall Pattern Co., Inc.",Consumer Products,United States,Add-on Acquisition,14,"CSS Industries, Inc., 450 Plymouth Road, Suite 300, Plymouth Meeting, Pennsylvania, 19462, United States, (610) 729-3959, www.cssindustries.com",,CSS,,"CSS Industries, Inc."
2016-12-23,Taro Pharmaceutical Industries Ltd. - U.S. Rights to KEVEYIS,Life Science,United States,Divestiture,8.5,"Strongbridge Biopharma plc, 900 Northbrook Drive, Suite 200, Trevose, Pennsylvania, 19053, United States, (610) 254-9200, www.strongbridgebio.com",,SBBP,,Strongbridge Biopharma plc
2016-12-01,"Telcare Medical Supply, Inc.",Information Technology,United States,Add-on Acquisition,7,"BioTelemetry, Inc., 1000 Cedar Hollow Road, Suite 102, Malvern, Pennsylvania, 19355, United States, (610) 729-7000, www.gobio.com",,BEAT,,"BioTelemetry, Inc."
2016-12-01,"Streamline Health Solutions, Inc. - Patient Engagement Solutions",Software,United States,Divestiture,2,"Document Storage Systems, Inc., 12575 US Highway 1 Suite 200, Juno Beach, Florida, 33408, United States, (561) 284-7000, www.dssinc.com",STRM,,"Streamline Health Solutions, Inc.",
2017-01-26,Actelion Ltd.,Life Science,Switzerland,Add-on Acquisition,30000,"Johnson & Johnson, One Johnson & Johnson Plaza, New Brunswick, New Jersey, 08933, United States, (732) 524-0400, www.jnj.com",,JNJ,,Johnson & Johnson
2017-01-25,"WGL Holdings, Inc.",Utilities,United States,Add-on Acquisition,6400,"AltaGas Ltd., 355 - 4th Avenue SW Suite 1700, Calgary, Alberta, T2P 0J1, Canada, 403-691-7575, www.altagas.ca",,ALA-PK.TO,,AltaGas Ltd.
2017-01-25,"AppDynamics, Inc.",Software,United States,Add-on Acquisition,3700,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2017-01-05,"CEB, Inc. (Challenger and Effortless Experience Solutions Business)",Business Services,United States,Add-on Acquisition,3300,"Gartner, Inc., 56 Top Gallant Road, Stamford, Connecticut, 06902, United States, (203) 316-1111, www.gartner.com",,IT,,"Gartner, Inc."
2017-01-16,"Clayton Williams Energy, Inc.",Oil/Gas Exploration,United States,Add-on Acquisition,2700,"Noble Energy, Inc., 1001 Noble Energy Way, Houston, Texas, 77070, United States, (281) 872-3100, www.nblenergy.com",,NBL,,"Noble Energy, Inc."
2017-01-01,Empire District Electric Co.,Utilities,United States,Add-on Acquisition,2432.22,"Algonquin Power & Utilities Corp., 354 Davis Rd, Oakville, Ontario, L6J 2X1, Canada, (905) 465-4500, www.algonquinpower.com",,AQNB,,Algonquin Power & Utilities Cor
2017-01-30,Ixia,Information Technology,United States,Add-on Acquisition,1600,"Keysight Technologies, Inc., 1400 Fountaingrove Parkway, Santa Rosa, California, 95403, United States, (800) 829-4444, www.keysight.com",,KEYS,,"Keysight Technologies, Inc."
2017-01-25,"Nes Rentals Holdings, Inc.",Business Services,United States,Divestiture,965,"United Rentals, Inc., 100 First Stamford Place, Suite 700, Stamford, Connecticut, 06902, United States, (203) 622-3131, www.unitedrentals.com",,URI,,"United Rentals, Inc."
2017-01-19,FirstEnergy Corp. - 4 Natural Gas Generating Plants,Utilities,United States,Divestiture,925,"LS Power Development LLC, 1700 Broadway 35th Floor, New York,, New York, 10019, United States, (212) 615-3456, www.lspower.com",FE,,FirstEnergy Corp.,
2017-01-27,"MoneyGram International, Inc.",Financial Services,United States,Merger,880,"Ant Financial Services Group, Block B Huanglong Times Plaza No. 18 Wantang Road, Hangzhou, 310099, China, +86 571 2688 8888, www.alipay.com\nRipple Labs, Inc., 300 Montgomery Street 12th Floor, San Francisco, California, 94104, United States, www.ripple.com\nThe Brink's Co., 1801 Bayberry Court, P.O. Box 18100, Richmond, Virginia, 23226, United States, (804) 289-9600, www.brinks.com",MGI,,"MoneyGram International, Inc.",
2017-01-08,"Merrimack Pharmaceuticals, Inc. - Oncology Assets",Life Science,United States,Divestiture,575,"Ipsen SA, 65, quai Georges Gorse, Paris, 92100, France, +33 (0)1 58 33 50 00, www.ipsen.com",MACK,,"Merrimack Pharmaceuticals, Inc.",
2017-01-05,Sears Brands LLC (Craftsman),Retail,United States,Divestiture,525,"Stanley Black & Decker, Inc., 1000 Stanley Drive, New Britain, Connecticut, 06053, United States, (860) 225-5111, www.stanleyblackanddecker.com",,SWK,,"Stanley Black & Decker, Inc."
2017-01-09,Premia Holdings Ltd.,Insurance,Bermuda,"Buyout (LBO, MBO, MBI)",510,"Kelso & Company (PE), 320 Park Avenue, 24th Floor, New York, New York, 10022, United States, (212)751-3939, www.kelso.com\nArch Capital Group Ltd. , Waterloo House Ground Floor 100 Pitts Bay Road, Pembroke, HM 08, Bermuda, 441-278-9250, www.archcapgroup.com",,ACGLP,,Arch Capital Group Ltd.
2017-01-03,"Alon USA Energy, Inc.",Oil/Gas Exploration,United States,Add-on Acquisition,464,"Delek US Holdings, Inc., 7102 Commerce Way, Brentwood, Tennessee, 37027, United States, (615) 771-6701, www.delekus.com",,DK,,"Delek US Holdings, Inc."
2017-01-10,"Mortara Instrument, Inc.",Medical Products,United States,Add-on Acquisition,330,"Hill-Rom Holdings, Inc., 130 East Randolph Street Suite 1000, Chicago, Illinois, 60601, United States, (312) 819-7200, www.hillrom.com",,HRC,,"Hill-Rom Holdings, Inc."
2017-01-04,"Green Tree Insurance Agency, Inc.",Insurance,United States,Divestiture,125,"Assurant, Inc., 28 Liberty Street, 41st Floor, New York, New York, 10005, United States, (212) 859-7000, www.assurant.com",,AIZP,,"Assurant, Inc."
2017-01-11,"Universal Acoustic & Emission Technologies, Inc.",Machinery,United States,Add-on Acquisition,55,"Babcock & Wilcox Enterprises, Inc., 1200 East Market Street Suite 650, Akron, Ohio, 44305, United States, (330) 753-4511, www.babcock.com",,BW,,"Babcock & Wilcox Enterprises, Inc."
2017-01-03,"Viridity Energy, Inc.",Software,United States,Add-on Acquisition,35,"Ormat Technologies, Inc., 6140 Plumas Street, Reno, Nevada, 89519, United States, (775) 356-9029, www.ormat.com",,ORA,,"Ormat Technologies, Inc."
2017-01-17,"CynergisTek, Inc.",Information Technology,United States,Add-on Acquisition,26.8,"CynergisTek Inc., 11940 Jollyville Road Suite 300N, Austin, California, 78759, United States, (512) 402-8550, www.cynergistek.com",CTEK,,"CynergisTek, Inc.",
2017-01-30,"Singer Valve, Inc.",Manufacturing,Canada,Add-on Acquisition,25.84,"Mueller Water Products, Inc., 1200 Abernathy Road NE, Suite 1200, Atlanta, Georgia, 30328, United States, (770) 206-4200, www.muellerwaterproducts.com",,MWA,,"Mueller Water Products, Inc."
2017-01-17,"Hetsco, Inc.",Energy Services and Equipment,United States,Divestiture,22,"Chart Industries, Inc., 3055 Torrington Drive, Ball Ground, Georgia, 30107, United States, (770) 721-8800, www.chartindustries.com",,GTLS,,"Chart Industries, Inc."
2017-01-24,"L. E. Belcher, Inc. - Terminal and Storage Assets",Energy Services and Equipment,United States,Divestiture,20,"Sprague Resources LP, 185 International Drive, Portsmouth, New Hampshire, 03801, United States, (800) 225-1560, www.spragueenergy.com",,SRLP,,Sprague Resources LP
2017-01-06,"The Technologies Alliance, Inc. (dba OilPatch Technologies)",Energy Services and Equipment,United States,Add-on Acquisition,20,"Dril-Quip, Inc., 6401 North Eldridge Parkway, Houston, Texas, 77041, United States, (713) 939-7711, www.dril-quip.com",,DRQ,,"Dril-Quip, Inc."
2017-01-11,Omtool Ltd.,Software,United States,Add-on Acquisition,19.2,"Upland Software, Inc., Frost Tower 401 Congress Avenue Suite 2950, Austin, Texas, 78701, United States, (512) 960-1010, www.uplandsoftware.com",,UPLD,,"Upland Software, Inc."
2017-01-31,IDV Solutions LLC,Software,United States,Add-on Acquisition,18.7,"Everbridge, Inc., 25 Corporate Drive Suite 400, Burlington, Massachusetts, 01803, United States, (818) 230-9700, www.everbridge.com",,EVBG,,"Everbridge, Inc."
2017-01-03,Global Partners LP - Natural Gas and Electricity Business,Energy Services and Equipment,United States,Divestiture,17.3,"Sprague Resources LP, 185 International Drive, Portsmouth, New Hampshire, 03801, United States, (800) 225-1560, www.spragueenergy.com",GLP,SRLP,Global Partners LP,Sprague Resources LP
2017-01-17,"Coeur Mining, Inc. - Joaquin Project",Metals/Mining,Argentina,Divestiture,15,"Pan American Silver Corp., 625 Howe Street Suite 1440, Vancouver, British Columbia, V6C 2T6, Canada, (604) 684-1175, www.panamericansilver.com",CDE,PAAS,"Coeur Mining, Inc.",Pan American Silver Corp.
2017-01-12,Trojanlabel ApS,Machinery,Denmark,Add-on Acquisition,9.59,"AstroNova, Inc., 600 E Greenwich Avenue, West Warwick, Rhode Island, 02893, United States, (401) 828-4000, www.astronovainc.com",,ALOT,,"AstroNova, Inc."
2017-02-07,ENGIE SA -  U.S. Portfolio,Energy Services and Equipment,United States,Divestiture,3300,"Dynegy, Inc., 601 Travis Street, Suite 1400, Houston, Texas, 77002, United States, (713) 507-6400, www.dynegy.com",ENGI.PA,,ENGIE SA,
2017-02-13,"ZELTIQ Aesthetics, Inc.",Medical Products,United States,Add-on Acquisition,2470,"Allergan plc, Morris Corporate Center III, 400 Interpace Parkway, Parsippany, New Jersey, 07054, United States, (862) 261-7000, www.allergan.com",,AGN,,Allergan plc
2017-02-14,"Cynosure, Inc.",Medical Products,United States,Add-on Acquisition,1650,"Hologic, Inc., 250 Campus Drive, Marlborough, Massachusetts, 01752, United States, (508) 263-2900, www.hologic.com",,HOLX,,"Hologic, Inc."
2017-02-24,Sustainable Power Group LLC,Renewable Energy,United States,Add-on Acquisition,1577,"The AES Corporation, 4300 Wilson Boulevard, 11th Floor, Arlington, Virginia, 22203, United States, (703) 522-1315, www.aes.com",,AES,,The AES Corporation
2017-02-15,Johnson & Johnson - Codman Neurosurgery Business,Medical Products,United States,Divestiture,1045,"Integra LifeSciences Holdings Corp., 1100 Campus Road, Princeton, New Jersey, 08540, United States, (609) 275-0500, www.integralife.com",JNJ,,Johnson & Johnson,
2017-02-27,The Rainmaker Group Ventures LLC - Lease Rent Options (LRO),Internet Software and Services,United States,Divestiture,300,"RealPage, Inc., 2201 Lakeside Boulevard, Richardson, Texas, 75082, United States, (972) 820-3000, www.realpage.com",,RP,,"RealPage, Inc."
2017-02-01,Social Point S.L.,Software,Spain,Add-on Acquisition,250,"Take-Two Interactive Software, Inc., 110 West 44th Street, New York, New York, 10036, United States, (646) 536-2842, www.take2games.com",,TTWO,,"Take-Two Interactive Software, Inc."
2017-02-14,TIO Networks Corp.,Internet Software and Services,Canada,Add-on Acquisition,231.06,"PayPal Holdings, Inc., 2211 North First Street, San Jose, California, 95131, United States, (408) 967-1000, www.paypal.com",,PYPL,,"PayPal Holdings, Inc."
2017-02-28,LightCyber Ltd.,Information Technology,Israel,Add-on Acquisition,105,"Palo Alto Networks, Inc., 3000 Tannery Way, Santa Clara, California, 95054, United States, (408) 753-4000, www.paloaltonetworks.com",,PANW,,"Palo Alto Networks, Inc."
2017-02-15,"StoneRiver, Inc.",Software,United States,Add-on Acquisition,102,"Sapiens International Corporation N.V., Azrieli Center, 26 Harokmim Street, Holon, 588-5800, Israel, +972 3 790 2000, www.sapiens.com",,SPNS,,Sapiens International Corporation N.V.
2017-02-13,Sanofi SA - Consumer Healthcare Products,Life Science,France,Divestiture,93.53,"Ipsen SA, 65, quai Georges Gorse, Paris, 92100, France, +33 (0)1 58 33 50 00, www.ipsen.com",SNY,,Sanofi,
2017-02-16,"Diversified Communications, Inc. - Two Television Stations",Media,United States,Divestiture,85,"Gray Television, Inc., 4370 Peachtree Road, NE, Atlanta, Georgia, 30319, United States, (404) 504-9828, www.gray.tv",,GTN-A,,"Gray Television, Inc."
2017-02-15,New Moosejaw LLC,Retail,United States,Add-on Acquisition,51,"Walmart Inc., 702 SW 8th Street, Bentonville, Arkansas, 72716, United States, (479) 273-4000, www.walmart.com",,WMT,,Walmart Inc.
2017-02-21,"Mt. Mansfield Co., Inc. (Stowe Mountain Resort)",Leisure,United States,Divestiture,50,"Vail Resorts, Inc., 390 Interlocken Crescent, Broomfield, Colorado, 80021, United States, (303) 404-1800, www.vailresorts.com",,MTN,,"Vail Resorts, Inc."
2017-02-01,"DCB Bancshares, Inc. (dba Damascus Community Bank)",Financial Services,United States,Add-on Acquisition,40.7,"Old Line Bancshares, Inc., 1525 Pointer Ridge Place, Bowie, Maryland, 20716, United States, (301) 430-2500, www.oldlinebank.com",,OLBK,,"Old Line Bancshares, Inc."
2017-02-23,"DeviantArt, Inc.",Internet Software and Services,United States,Add-on Acquisition,36,"Wix.com Ltd., 40 Namal Tel Aviv Street, Tel Aviv, 6350671, Israel, 972 3 545 4900, www.wix.com",,WIX,,Wix.com Ltd.
2017-02-06,"Plastic Tubing Industries, Inc.",Plastics,United States,Add-on Acquisition,9.5,"Advanced Drainage Systems, Inc., 4640 Trueman Boulevard, Hilliard, Ohio,  43026, United States, (614) 658-0050, www.ads-pipe.com",,WMS,,"Advanced Drainage Systems, Inc."
2017-02-22,Eclipse Colour and Imaging Corp.,Business Services,Canada,Add-on Acquisition,6.99,"DATA Communications Management Corp., 9195 Torbram Road, Brampton, Ontario, L6S 6H2, Canada, (905) 791-3151, www.datacm.com",,DCM.TO,,DATA Communications Management Corp.
2017-02-22,Thistle Printing Ltd.,Business Services,Canada,Add-on Acquisition,4.64,"DATA Communications Management Corp., 9195 Torbram Road, Brampton, Ontario, L6S 6H2, Canada, (905) 791-3151, www.datacm.com",,DCM.TO,,DATA Communications Management Corp.
2017-03-07,Astoria Financial Corp.,Financial Services,United States,Merger,2229.7,"Sterling Bancorp, 400 Rella Boulevard, Montebello, New York, 10901, United States, (845) 369-8040, www.sterlingbancorp.com",,STL,,Sterling Bancorp
2017-03-07,Allfunds S.A.,Financial Services,Spain,Secondary Buyout,2028.42,"Hellman & Friedman (PE), 415 Mission Street, Suite 5700, San Francisco, California, 94105, United States, (415)788-5111, www.hf.com\nGIC Private Ltd. (PE), www.gic.com.sg\nBNP Paribas SA, 16 Boulevard des Italiens, Paris, 75009, France, +33-1-40144546, www.group.bnpparibas.com",,BNP.PA,,BNP Paribas SA
2017-03-16,"Scott Safety Supply Services, Inc.",Energy Services and Equipment,Canada,Divestiture,2000,"3M Company, 3M Center, St Paul, Minnesota, 55144, United States, (651) 733-1110, www.3m.com",,MMM,,3M Company
2017-03-10,"Newell Brands, Inc. - Tools ",Machinery,United States,Divestiture,1950,"Stanley Black & Decker, Inc., 1000 Stanley Drive, New Britain, Connecticut, 06053, United States, (860) 225-5111, www.stanleyblackanddecker.com",,SWK,,"Stanley Black & Decker, Inc."
